Event ID,Event File,Loc File,Type,Fires For,Options,Has Title,Has Description,Picture,Desc Chars,Paragraphs,News Format,Flags,Grade,Priority,Action,Completion,Context,Notes
Autonomous_FUL_Republic.0,VIE_Events.txt,VIE_events_l_english.yml,News,,1,TRUE,TRUE,[NONE],942,3,NO_DATELINE,,C,P2,Rewrite,TRUE,,
Autonomous_FUL_Republic.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,[NONE],702,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
Autonomous_FUL_Republic.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,2,TRUE,TRUE,[NONE],870,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
Autonomous_FUL_Republic.3,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Autonomous_FUL_Republic.3,1058,2,N/A,,A,P3,Keep,FALSE,,
BaoDai.0,VIE_Events.txt,VIE_events_l_english.yml,News,,1,TRUE,TRUE,GFX_BaoDai.0,839,4,OK,,A,P3,Keep,FALSE,,
BaoDai.1,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_BaoDai.1,637,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
BaoDai.2,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_BaoDai.2,554,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
BaoDai.3,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_BaoDai.3,534,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
BaoDai.4,VIE_Events.txt,VIE_events_l_english.yml,Country,VIE,2,TRUE,TRUE,GFX_BaoDai.4,1692,5,N/A,,A,P3,Keep,FALSE,,
BaoDai.5,VIE_Events.txt,VIE_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_BaoDai.5,614,1,N/A,NO_PARA_BREAKS,B,P3,Polish,TRUE,,
